type,description
Psychic,"['Psychic'],Removal Beam,'Flip a coin. If heads, discard 1 Energy card attached to the Defending Pok\u00e9mon.',10"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Super Psy,'',50"
Colorless,"['Colorless'],Seek Out,'Search your deck for up to 2 cards and put them into your hand. Shuffle your deck afterward.',"
Colorless,"['Colorless', 'Colorless'],Continuous Headbutt,'Flip a coin until you get tails. This attack does 40 damage times the number of heads.',40\u00d7"
Colorless,"['Colorless'],Energy Wheel,'Move an Energy from 1 of your Benched Pok\u00e9mon to this Pok\u00e9mon.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Hurricane,'Move a basic Energy from this Pok\u00e9mon to 1 of your Benched Pok\u00e9mon.',80"
Psychic,"['Colorless'],Peck,'',10"
Water,"['Fire', 'Fire', 'Darkness', 'Colorless', 'Colorless'],Wild Blaze,'Discard the top 5 cards of your deck.',300"
Grass,"['Colorless'],Psycho Waves,'Discard an Energy card attached to Venonat. The Defending Pok\u00e9mon is now Confused.',"
Grass,"['Grass'],Bite,'',10"
Water,"['Water', 'Psychic', 'Colorless'],Poison Breath,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Poisoned.',60"
Grass,"['Colorless'],Gnaw,'',20"
Grass,"['Grass', 'Colorless', 'Colorless'],Double Razor Leaf,'Flip 2 coins. This attack does 50 damage times the number of heads.',50\u00d7"
Fire,"['Fire'],Flame Burst,'This attack does 20 damage to 2 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',20"
Fire,"['Fire', 'Colorless', 'Colorless'],Flamethrower,'Discard an Energy attached to this Pok\u00e9mon.',90"
Water,"['Water'],Wave Splash,'',10"
Water,"['Colorless', 'Colorless'],Razor Fin,'',20"
Psychic,"['Psychic', 'Colorless'],Swift Lunge,'You may have your opponent switch his or her Active Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',30"
Psychic,"['Psychic', 'Psychic', 'Psychic'],Piercing Prizes,'This attack does 20 more damage for each of your remaining Prize cards.',50+"
Colorless,"['Colorless', 'Colorless'],Wing Attack,'',30"
Grass,"['Grass', 'Colorless'],Poisonpowder,'The Defending Pok\u00e9mon is now Poisoned.',20"
Water,"['Water', 'Metal', 'Colorless'],Glide,'',40"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Tough Swing,'This attack's damage isn't affected by Resistance.',110"
Fire,"['Lightning', 'Lightning', 'Fire', 'Fire', 'Fire'],White-Hot Flame,'Discard 1 Energy card and 1 Energy card attached to Shining Charizard or this attack does nothing. Flip a coin. If tails, Shining Charizard does 30 damage to itself.',100"
Grass,"['Colorless', 'Colorless'],Wind Return,'You may return all Grass Energy attached to Yanmega to your hand. If you do, this attack does 20 damage plus 20 more damage for each Energy card you returned.',20+"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Speed Dive,'',70"
Grass,"['Grass', 'Colorless', 'Colorless'],Select Powder,'Choose either Burned or Poisoned. The Defending Pok\u00e9mon is now affected by that Special Condition.',30"
Fighting,"['Metal', 'Colorless'],Steel Tackle,'Aron does 10 damage to itself.',30"
Colorless,"['Colorless'],Sand-Attack,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',"
Colorless,"['Colorless', 'Colorless'],Ambush,'Flip a coin. If heads, this attack does 20 more damage.',20+"
Fighting,"['Colorless'],Peck,'',10"
Fighting,"['Fighting', 'Colorless'],Double Spin,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Fighting,"['Fighting', 'Fighting', 'Lightning'],Lightning Cut,'Flip a coin. If heads, this attack does 30 damage plus 10 more damage and does 10 damage to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) If tails, this attack does 30 damage and Shining Kabutops does 10 damage to itself.',30+"
Fighting,"['Fighting', 'Fighting', 'Water', 'Water'],Water Slash,'Does 50 damage plus 10 more damage for each Energy attached to Shining Kabutops but not used to pay for this attack's Energy cost. Don't apply Resistance.',50+"
Fighting,"['Fighting'],Night Attack,'Put 1 damage counter on 1 of your opponent's Pok\u00e9mon.',"
Fighting,"['Colorless', 'Colorless'],Spinning Attack,'',20"
Water,"['Colorless'],Big Bite,'The Defending Pok\u00e9mon can't retreat until the end of your opponent's next turn.',10"
Fire,"['Colorless', 'Colorless'],Moving Fire,'You may move a Fire Energy card attached to 1 of your Benched Pok\u00e9mon to Camerupt.',30"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless'],Volcanic Crash,'Flip 3 coins. For each tails, discard the top card of your deck. Ignore this effect if your opponent has any Water Pok\u00e9mon in play.',100"
Grass,"['Grass'],Blot,'Heal 10 damage from this Pok\u00e9mon.',10"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Cross-Cut,'If your opponent's Active Pok\u00e9mon is an Evolution Pok\u00e9mon, this attack does 60 more damage.',60+"
Fighting,"['Metal', 'Colorless', 'Colorless'],Guard Press,'During your opponent's next turn, any damage done to Steelix by attacks is reduced by 20 (after applying Weakness and Resistance).',40"
Fighting,"['Metal', 'Metal', 'Colorless', 'Colorless'],Steel Swing,'Flip 2 coins. This attack does 80 damage times the number of heads.',80\u00d7"
Lightning,"['Lightning'],Random Spark,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Lightning,"['Colorless', 'Colorless'],Tackle,'',20"
Fighting,"['Colorless'],Fling,'Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',"
Fighting,"['Fighting', 'Colorless'],Low Kick,'',30"
Grass,"['Colorless'],Impound,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',"
Grass,"['Grass', 'Colorless'],Double Scratch,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Fire,"['Fire'],Combustion,'',10"
Fire,"['Fire', 'Colorless'],Super Singe,'The Defending Pok\u00e9mon is now Burned.',10"
Psychic,"['Colorless'],Headbutt,'',10"
Psychic,"['Psychic', 'Colorless'],Hypnoblast,'The Defending Pok\u00e9mon is now Asleep.',20"
Fire,"['Colorless'],Collect,'Draw a card.',"
Fire,"['Fire', 'Colorless'],Combustion,'',20"
Fire,"['Fire', 'Colorless'],Searing Flame,'The Defending Pok\u00e9mon is now Burned.',20"
Fire,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Earth Power,'Flip 2 coins. This attack does 10 damage times the number of heads to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',60"
Grass,"['Grass'],Sleep Inducer,'Switch 1 of your opponent's Benched Pok\u00e9mon with 1 of the Defending Pok\u00e9mon. The new Defending Pok\u00e9mon is now Asleep.',"
Fire,"['Fire'],Hexed Flame,'Does 50 more damage for each Special Condition affecting the Defending Pok\u00e9mon.',20+"
Colorless,"['Colorless'],Triple Draw,'Draw 3 cards.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Kindred Kick,'Flip a coin. If heads, this attack does 30 more damage.',70+"
Fire,"['Fire', 'Colorless'],Flame Jet,'Flip a coin. If heads, this attack does 40 damage to 1 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Fire,"['Fire', 'Colorless', 'Colorless'],Heat Blast,'',50"
Psychic,"['Lightning', 'Psychic'],Reflect Shield,'If an attack does damage to Shining Mewtwo during your opponent's next turn (even if Shining Mewtwo is Knocked Out), flip a coin. If heads, prevent all damage done to Shining Mewtwo from that attack (any other effects of attacks still happen) and do 20 damage to the attacking Pok\u00e9mon.',"
Psychic,"['Psychic', 'Psychic', 'Fire'],Psyburst,'Discard a Energy card attached to Shining Mewtwo or this attack does nothing. This attack does 40 damage plus 10 damage for each Energy attached to the Defending Pok\u00e9mon.',40+"
Fire,"['Colorless'],Collect,'Draw a card.',"
Fire,"['Colorless', 'Colorless'],Scratch,'',20"
Water,"['Water'],Aqua Supply,'You may attach a basic Energy card from your hand to 1 of your Pok\u00e9mon.',20"
Water,"['Colorless', 'Colorless', 'Colorless'],Multi Bubble,'If Vaporeon has 3 or more different types of basic Energy cards attached to it, this attack does 40 damage plus 20 more damage and the Defending Pok\u00e9mon is now Asleep.',40+"
Fighting,"['Fighting'],Smack,'',10"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Acrobatics,'Flip 2 coins. This attack does 20 more damage for each heads.',40+"
Lightning,"['Lightning', 'Lightning', 'Water', 'Water'],Thundersquall,'If your opponent has any Benched Pok\u00e9mon, choose 1 of them and this attack does 10 damage to that Pok\u00e9mon for each Energy attached to Shining Raichu. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Fighting,"['Metal', 'Metal', 'Colorless'],Giga Hammer,'This Pok\u00e9mon can't use Giga Hammer during your next turn.',150"
Fighting,"['Colorless'],Algorithm-GX,'Search your deck for up to 5 cards and put them into your hand. Then, shuffle your deck. (You can't use more than 1 GX attack in a game.)',"
Lightning,"['Colorless'],Roar,'Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon, if any.',"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Thunder,'Flip a coin. If tails, Raikou does 20 damage to itself.',50"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Riot,'Does 30 damage plus 10 more damage for each Pok\u00e9mon that isn't an Evolved Pok\u00e9mon in play (both yours and your opponent's).',30+"
Grass,"['Grass'],Green Call,'Flip 2 coins. For each heads, search your deck for a Grass Pok\u00e9mon, show it to your opponent, and put it into your hand. If you do, shuffle your deck afterward.',"
Grass,"['Grass', 'Colorless'],Gust,'',20"
Grass,"['Colorless'],Scratch,'',10"
Grass,"['Grass'],Big Bite,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',"
Water,"['Water'],Dragon Steam,'If your opponent has any Fire Pok\u00e9mon in play, this attack's base damage is 20 instead of 60.',60"
Fighting,"['Metal', 'Metal', 'Fighting', 'Fighting'],Crushing Earth,'Flip a coin. If heads, this attack does 10 damage to each Benched Pok\u00e9mon (yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) If tails, this attack does nothing. Either way, Shining Steelix can't attack during your next turn.',"
Colorless,"['Colorless'],Licking-Licking Heal,'Attach a basic Energy card from your hand to 1 of your Pok\u00e9mon. Then, remove 2 damage counters from that Pok\u00e9mon.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Return,'Draw cards until you have 6 cards in your hand.',40"
Psychic,"['Psychic', 'Colorless'],Mini Link,'If Solosis is on your Bench, this attack does 30 more damage.',10+"
Water,"['Fire', 'Colorless'],Continuous Headbutt,'Flip a coin until you get tails. This attack does 30 damage times the number of heads.',30\u00d7"
Water,"['Water'],Icy Snow,'',10"
Water,"['Colorless', 'Colorless', 'Colorless'],Hydro Pump,'This attack does 30 more damage for each Water Energy attached to this Pok\u00e9mon.',40+"
Grass,"['Grass', 'Colorless'],Toxic,'The Defending Pok\u00e9mon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pok\u00e9mon between turns.',"
Colorless,"['Colorless'],3-D Attack,'Flip 3 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Fighting,"['Colorless'],Metal Claw,'',20"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Mid-air Strike,'Flip a coin. If heads, this attack does 30 damage plus 30 more damage.',30+"
Psychic,"['Colorless', 'Colorless'],Bite,'',20"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Psychic,'Does 30 damage plus 10 more for each Energy Card attached to the Defending Pok\u00e9mon.',30+"
Fire,"['Colorless'],Paralyzing Gaze,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',"
Fire,"['Fire', 'Colorless'],Fireworks,'Flip a coin. If tails, discard a Fire Energy card attached to Cyndaquil.',30"
Fighting,"['Colorless'],Headbutt,'',10"
Fighting,"['Fighting', 'Colorless'],Reckless Charge,'This Pok\u00e9mon does 10 damage to itself.',30"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Needle,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed and Poisoned.',40"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Wham Bam Punch,'Flip a coin until you get tails. This attack does 30 more damage for each heads.',100+"
Grass,"['Colorless'],Double Draw,'Draw 2 cards.',"
Grass,"['Grass', 'Colorless'],Leaf Wallop,'During your next turn, this Pok\u00e9mon's Leaf Wallop attack does 40 more damage (before applying Weakness and Resistance).',40"
Water,"['Colorless'],Horn Pierce,'Flip 2 coins. If either of them is tails, this attack does nothing.',90"
Water,"['Water'],Endure,'Flip a coin. If heads, during your opponent's next turn, if Seaking would be Knocked Out by damage from an attack, Seaking is not Knocked Out and its remaining HP becomes 10 instead.',30"
Grass,"['Colorless'],Spike Wound,'Choose 1 of your opponent's Pok\u00e9mon that has any damage counters on it. This attack does 30 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Water,"['Psychic'],Fast Raid,'If you go first, you can use this attack on your first turn.',40"
Water,"['Water', 'Psychic', 'Psychic', 'Colorless'],Light Pulse,'Prevent all effects of your opponent's attacks, except damage, done to this Pok\u00e9mon during your opponent's next turn.',110"
Water,"['Psychic', 'Darkness', 'Colorless'],Shred,'This attack's damage isn't affected by any effects on your opponent's Active Pok\u00e9mon.',80"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Sleepy Press,'Heal 20 damage from this Pok\u00e9mon. This Pok\u00e9mon is now Asleep.',120"
Grass,"['Grass', 'Colorless'],Boyfriends,'Does 20 damage plus 20 more damage for each Nidoking you have in play.',20+"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Mega Punch,'',50"
Grass,"['Grass', 'Grass', 'Colorless'],Wide Solarbeam,'Does 20 damage to 2 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',20"
Grass,"['Grass', 'Grass', 'Grass', 'Colorless'],Hard Plant,'Venusaur can't use Hard Plant during your next turn.',80"
Fire,"['Fire', 'Colorless'],Take Down,'This Pok\u00e9mon does 10 damage to itself.',30"
Water,"['Water', 'Colorless'],Swing Around,'Flip 2 coins. This attack does 20 more damage for each heads.',10+"
Colorless,"['Colorless'],Synchro Removal,'If any Energy card attached to Spinda is the same type as any Energy card attached to the Defending Pok\u00e9mon, discard 1 of those Energy cards from the Defending Pok\u00e9mon.',"
Colorless,"['Colorless'],Pulled Punch,'If the Defending Pok\u00e9mon already has any damage counters on it, this attack's base damage is 10 instead of 30.',30"
Water,"['Water', 'Colorless', 'Colorless'],Frozen Wings,'Discard a Special Energy attached to the Defending Pok\u00e9mon.',60"
Water,"['Water', 'Water', 'Colorless', 'Colorless'],Hail Blizzard,'This Pok\u00e9mon can't use Hail Blizzard during your next turn.',120"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Glinting Claw,'Flip a coin. If heads, this attack does 30 more damage.',50+"
Lightning,"['Lightning', 'Lightning', 'Colorless', 'Colorless'],Strong Volt,'Discard 2 Energy attached to this Pok\u00e9mon.',150"
Lightning,"['Colorless'],Nuzzle,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',"
Lightning,"['Lightning', 'Colorless'],Thunder Jolt,'This Pok\u00e9mon does 10 damage to itself.',30"
Psychic,"['Psychic'],Fortunate Draw,'You and your opponent play Rock-Paper-Scissors. The player who wins draws 3 cards. The player who loses discards the top 3 cards of his or her deck.',"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Miracle Wing,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',60"
Fighting,"['Metal', 'Colorless', 'Colorless'],Rapid Spin,'If your opponent has any Benched Pok\u00e9mon, he or she chooses 1 of them and switches it with their Active Pok\u00e9mon; then, if you have any Benched Pok\u00e9mon, you switch 1 of them with your Active Pok\u00e9mon. (Do the damage before switching the Pok\u00e9mon.)',30"
Water,"['Colorless', 'Colorless'],Rest,'Remove all Special Conditions and 4 damage counters from Wailord. Wailord is now Asleep.',"
Water,"['Water', 'Water', 'Water', 'Colorless', 'Colorless'],Giant Wave,'Wailord can't use Giant Wave during your next turn.',100"
Psychic,"['Psychic', 'Colorless'],Mind Bend,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
